passage_id,corpus,analysis_profile,analysis_reading,granularity,book,start_reference,end_reference,reference_sequence_json,token_count
P_GNT_CRITICAL_CORE_SOURCE_TWO_VERSE_LUK_023_016_LUK_023_018~16d75f0eb6ddb4f62142807fec223fed585e3b9476025a957b2c03efbc275084,greek,critical_core,source,two_verse,LUK,LUK 23:16,LUK 23:18,"[""LUK 23:16"",""LUK 23:18""]",15
P_GNT_CRITICAL_CORE_SOURCE_TWO_VERSE_ACT_008_036_ACT_008_038~b033ee1a0f114865ddf58ff944d905e7f25d9aab851e496b87b37cee13b2d9b5,greek,critical_core,source,two_verse,ACT,ACT 8:36,ACT 8:38,"[""ACT 8:36"",""ACT 8:38""]",40
P_GNT_CRITICAL_CORE_SOURCE_TWO_VERSE_ACT_015_033_ACT_015_035~d76b867b4f9c8fb0827817c3f200562eefc56fe6c4a33c07be89ec5ac3ad6638,greek,critical_core,source,two_verse,ACT,ACT 15:33,ACT 15:35,"[""ACT 15:33"",""ACT 15:35""]",31
P_GNT_CRITICAL_CORE_SOURCE_TWO_VERSE_ACT_024_006_ACT_024_008~6ab460cae5feb44c97c5e7ef1089b0e4c9268738602883efc72dd7d0132ccf77,greek,critical_core,source,two_verse,ACT,ACT 24:6,ACT 24:8,"[""ACT 24:6"",""ACT 24:8""]",22
P_GNT_CRITICAL_CORE_SOURCE_TWO_VERSE_ACT_028_028_ACT_028_030~ea047a46c2077c29829f8c52e92ac1d99bf46d2266cf669b8ae9dc5cac34e82f,greek,critical_core,source,two_verse,ACT,ACT 28:28,ACT 28:30,"[""ACT 28:28"",""ACT 28:30""]",30
P_GNT_CRITICAL_CORE_SOURCE_TWO_VERSE_ROM_016_023_ROM_016_025~71510ea28fcfd9fd6ba6340ac9df6a84352cfe477d3485e43821ddcb1a254d1b,greek,critical_core,source,two_verse,ROM,ROM 16:23,ROM 16:25,"[""ROM 16:23"",""ROM 16:25""]",41
P_GNT_EDITION_COMPLETE_SOURCE_CLAUSE_MAT_013_004_MAT_013_008~9218c975689c1d8dfe61ddf71dc746f6bc865df3ad3db5d20345a8504e35ff83,greek,edition_complete,source,clause,MAT,MAT 13:4,MAT 13:8,"[""MAT 13:4"",""MAT 13:5"",""MAT 13:7"",""MAT 13:8""]",4
P_GNT_EDITION_COMPLETE_SOURCE_CLAUSE_MRK_004_004_MRK_004_008~a9bf58b029e322671f68d90af862a2a3689fcda830731b0cedbbc02061bb7e3d,greek,edition_complete,source,clause,MRK,MRK 4:4,MRK 4:8,"[""MRK 4:4"",""MRK 4:5"",""MRK 4:7"",""MRK 4:8""]",4
P_GNT_EDITION_COMPLETE_SOURCE_CLAUSE_MRK_005_025_MRK_005_027~4e5eb4e267021261db49ad09d41f5eb9b5eca53d5d4b8b2225800971f5c79214,greek,edition_complete,source,clause,MRK,MRK 5:25,MRK 5:27,"[""MRK 5:25"",""MRK 5:27""]",5
P_GNT_EDITION_COMPLETE_SOURCE_CLAUSE_LUK_002_030_LUK_002_032~43d0c4f761f6c3edc561b27936f5b21a552f3d8c2708733ed24a14d90cfe8d69,greek,edition_complete,source,clause,LUK,LUK 2:30,LUK 2:32,"[""LUK 2:30"",""LUK 2:32""]",16
P_GNT_EDITION_COMPLETE_SOURCE_CLAUSE_ROM_001_001_ROM_001_007~af84a7d4d31dd2283cdfe4d8e432011be7385e8ce9b1c47c68ce96433508c2fd,greek,edition_complete,source,clause,ROM,ROM 1:1,ROM 1:7,"[""ROM 1:1"",""ROM 1:7""]",12
P_GNT_EDITION_COMPLETE_SOURCE_CLAUSE_ROM_015_018_ROM_015_020~5c8822230d4ac6cf06e161b4d3d6651387f42946991075885c1cf7e5d4f998ee,greek,edition_complete,source,clause,ROM,ROM 15:18,ROM 15:20,"[""ROM 15:18"",""ROM 15:20""]",2
P_GNT_EDITION_COMPLETE_SOURCE_CLAUSE_ROM_016_003_ROM_016_005~69982679ba687933cfc5517bd2c508a1898a034442e732591a48668737220371,greek,edition_complete,source,clause,ROM,ROM 16:3,ROM 16:5,"[""ROM 16:3"",""ROM 16:5""]",16
P_GNT_EDITION_COMPLETE_SOURCE_CLAUSE_ROM_016_025_ROM_016_027~032ca285d9ed9459900235c747b398a81c3606121f101cbd4133e1cda62015a7,greek,edition_complete,source,clause,ROM,ROM 16:25,ROM 16:27,"[""ROM 16:25"",""ROM 16:27""]",4
P_GNT_EDITION_COMPLETE_SOURCE_CLAUSE_GAL_002_007_GAL_002_009~8e285ae3902194b56c6b560a1a3ec34f9fa52cada45e009d6cc13ebd901096a8,greek,edition_complete,source,clause,GAL,GAL 2:7,GAL 2:9,"[""GAL 2:7"",""GAL 2:9""]",13
P_GNT_EDITION_COMPLETE_SOURCE_CLAUSE_GAL_004_024_GAL_004_026~34908b98c16f24d90290a6b859ad95146ff64615c1cf88efd97ccc5dacd422bb,greek,edition_complete,source,clause,GAL,GAL 4:24,GAL 4:26,"[""GAL 4:24"",""GAL 4:26""]",2
P_GNT_EDITION_COMPLETE_SOURCE_CLAUSE_PHP_001_003_PHP_001_005~a4e2ae641997308cb94604547e72aa5fcea412e98de1bc3b65c9a8a2c38f2e0b,greek,edition_complete,source,clause,PHP,PHP 1:3,PHP 1:5,"[""PHP 1:3"",""PHP 1:5""]",23
P_GNT_EDITION_COMPLETE_SOURCE_CLAUSE_1TH_002_005_1TH_002_007~2b6e0d60bcca5066b0a054993db599a46588ba6f113ad2ebfc0748e858091619,greek,edition_complete,source,clause,1TH,1TH 2:5,1TH 2:7,"[""1TH 2:5"",""1TH 2:7""]",2
P_GNT_EDITION_COMPLETE_SOURCE_CLAUSE_1TH_004_004_1TH_004_006~b2f7afcf1e87f26de9d1441ccf34d879a18957d703ab548610d0540e89ed65b2,greek,edition_complete,source,clause,1TH,1TH 4:4,1TH 4:6,"[""1TH 4:4"",""1TH 4:6""]",4
P_GNT_EDITION_COMPLETE_SOURCE_CLAUSE_TIT_001_001_TIT_001_004~159470320805bb9286493d01dbed9d6c9b4c82130ef7aba5fbc6e3cdc14ff1d9,greek,edition_complete,source,clause,TIT,TIT 1:1,TIT 1:4,"[""TIT 1:1"",""TIT 1:2"",""TIT 1:4""]",27
P_GNT_EDITION_COMPLETE_SOURCE_CLAUSE_HEB_006_004_HEB_006_006~0c73e5d233e3c76e4ea53efc475c58c2bc70a1166aac82603deb76b103c2a108,greek,edition_complete,source,clause,HEB,HEB 6:4,HEB 6:6,"[""HEB 6:4"",""HEB 6:6""]",5
P_GNT_EDITION_COMPLETE_SOURCE_CLAUSE_HEB_007_001_HEB_007_003~a09afb8f79bc793ac3bdf6cc7c3d586f035b9673ac921d6bab5e2bdd291eca66,greek,edition_complete,source,clause,HEB,HEB 7:1,HEB 7:3,"[""HEB 7:1"",""HEB 7:3""]",19
P_GNT_EDITION_COMPLETE_SOURCE_CLAUSE_HEB_008_004_HEB_008_006~bbdee27dea8e04c630a0aa71e3e8415e6dee674117b20e1eb949502afe10e071,greek,edition_complete,source,clause,HEB,HEB 8:4,HEB 8:6,"[""HEB 8:4"",""HEB 8:6""]",2
P_GNT_EDITION_COMPLETE_SOURCE_FIVE_VERSE_MAT_017_017_MAT_017_022~912649edc6bdf9d8d5c21ead53d7ada4bdf6bc1b479f629c5d692125852df91e,greek,edition_complete,source,five_verse,MAT,MAT 17:17,MAT 17:22,"[""MAT 17:17"",""MAT 17:18"",""MAT 17:19"",""MAT 17:20"",""MAT 17:22""]",108
P_GNT_EDITION_COMPLETE_SOURCE_FIVE_VERSE_MAT_017_018_MAT_017_023~d9cd1d610b50999a6e26f09f41080f2614a94fda175636704554b1e47145e8f9,greek,edition_complete,source,five_verse,MAT,MAT 17:18,MAT 17:23,"[""MAT 17:18"",""MAT 17:19"",""MAT 17:20"",""MAT 17:22"",""MAT 17:23""]",96
P_GNT_EDITION_COMPLETE_SOURCE_FIVE_VERSE_MAT_017_019_MAT_017_024~09847c5dc9787ff369e692ef35a09101202c68bb91cb39ba65f7a46cd9256248,greek,edition_complete,source,five_verse,MAT,MAT 17:19,MAT 17:24,"[""MAT 17:19"",""MAT 17:20"",""MAT 17:22"",""MAT 17:23"",""MAT 17:24""]",97
P_GNT_EDITION_COMPLETE_SOURCE_FIVE_VERSE_MAT_017_020_MAT_017_025~0d03a0f40e653f54760f2770bd22e5e2889a94ab5caffba478aee08c823ed4fa,greek,edition_complete,source,five_verse,MAT,MAT 17:20,MAT 17:25,"[""MAT 17:20"",""MAT 17:22"",""MAT 17:23"",""MAT 17:24"",""MAT 17:25""]",115
P_GNT_EDITION_COMPLETE_SOURCE_FIVE_VERSE_MAT_018_007_MAT_018_012~ebc679d09b196c3431f3715cc997ef7885e7269982eae5c90763c7bf49f0690b,greek,edition_complete,source,five_verse,MAT,MAT 18:7,MAT 18:12,"[""MAT 18:7"",""MAT 18:8"",""MAT 18:9"",""MAT 18:10"",""MAT 18:12""]",145
P_GNT_EDITION_COMPLETE_SOURCE_FIVE_VERSE_MAT_018_008_MAT_018_013~e13b08343f03c5057a1550a2f51aa28ae5e3edf505ec43e454b6e5f3cda4928c,greek,edition_complete,source,five_verse,MAT,MAT 18:8,MAT 18:13,"[""MAT 18:8"",""MAT 18:9"",""MAT 18:10"",""MAT 18:12"",""MAT 18:13""]",146
P_GNT_EDITION_COMPLETE_SOURCE_FIVE_VERSE_MAT_018_009_MAT_018_014~785f83c104f73d739280e16056c092a2c4a121cd1649cf4d5d87a0abc571d5e4,greek,edition_complete,source,five_verse,MAT,MAT 18:9,MAT 18:14,"[""MAT 18:9"",""MAT 18:10"",""MAT 18:12"",""MAT 18:13"",""MAT 18:14""]",123
P_GNT_EDITION_COMPLETE_SOURCE_FIVE_VERSE_MAT_018_010_MAT_018_015~f9b32f000844eb2f0e50eb28f5f026f4793ff15644e2b0994beaaa5b4cc6ec01,greek,edition_complete,source,five_verse,MAT,MAT 18:10,MAT 18:15,"[""MAT 18:10"",""MAT 18:12"",""MAT 18:13"",""MAT 18:14"",""MAT 18:15""]",113
P_GNT_EDITION_COMPLETE_SOURCE_FIVE_VERSE_MAT_023_010_MAT_023_015~bf2f84e8803a45ec637893d8d50644e830da019bf55c55f12123fdab99ef667e,greek,edition_complete,source,five_verse,MAT,MAT 23:10,MAT 23:15,"[""MAT 23:10"",""MAT 23:11"",""MAT 23:12"",""MAT 23:13"",""MAT 23:15""]",77
P_GNT_EDITION_COMPLETE_SOURCE_FIVE_VERSE_MAT_023_011_MAT_023_016~6f187d1837f2e5acad0442b3b05a9b9c85554d3d34f5d52040f6f09b8219ae37,greek,edition_complete,source,five_verse,MAT,MAT 23:11,MAT 23:16,"[""MAT 23:11"",""MAT 23:12"",""MAT 23:13"",""MAT 23:15"",""MAT 23:16""]",91
P_GNT_EDITION_COMPLETE_SOURCE_FIVE_VERSE_MAT_023_012_MAT_023_017~94f6bba17c47ec4c5810be2fe3f947c79f02e5f86091ebc3474154f59df8b7af,greek,edition_complete,source,five_verse,MAT,MAT 23:12,MAT 23:17,"[""MAT 23:12"",""MAT 23:13"",""MAT 23:15"",""MAT 23:16"",""MAT 23:17""]",100
P_GNT_EDITION_COMPLETE_SOURCE_FIVE_VERSE_MAT_023_013_MAT_023_018~8f6b836fd001fe53df9576c69d9fa8a8b4dfd9bf7451d50aaebf591727fec11e,greek,edition_complete,source,five_verse,MAT,MAT 23:13,MAT 23:18,"[""MAT 23:13"",""MAT 23:15"",""MAT 23:16"",""MAT 23:17"",""MAT 23:18""]",110
P_GNT_EDITION_COMPLETE_SOURCE_FIVE_VERSE_MRK_007_012_MRK_007_017~22ab1f922b450c601e20f61920eab4aba3cca03b3a5f8a0a856b8b6625a4cd0c,greek,edition_complete,source,five_verse,MRK,MRK 7:12,MRK 7:17,"[""MRK 7:12"",""MRK 7:13"",""MRK 7:14"",""MRK 7:15"",""MRK 7:17""]",75
P_GNT_EDITION_COMPLETE_SOURCE_FIVE_VERSE_MRK_007_013_MRK_007_018~43da66fbbbe147a1da35d7762f8e01a465703b8b35f3d6dc0170cd85df21968c,greek,edition_complete,source,five_verse,MRK,MRK 7:13,MRK 7:18,"[""MRK 7:13"",""MRK 7:14"",""MRK 7:15"",""MRK 7:17"",""MRK 7:18""]",87
P_GNT_EDITION_COMPLETE_SOURCE_FIVE_VERSE_MRK_007_014_MRK_007_019~6ba2d23ec5f9c4e6701b7cc0343df00b283d10affc6c09a9372920e10dfee042,greek,edition_complete,source,five_verse,MRK,MRK 7:14,MRK 7:19,"[""MRK 7:14"",""MRK 7:15"",""MRK 7:17"",""MRK 7:18"",""MRK 7:19""]",92
P_GNT_EDITION_COMPLETE_SOURCE_FIVE_VERSE_MRK_007_015_MRK_007_020~2f25ff664150c0b564f5c2fd3d91ae40bedccecf8fd621858230301d2a8f7f45,greek,edition_complete,source,five_verse,MRK,MRK 7:15,MRK 7:20,"[""MRK 7:15"",""MRK 7:17"",""MRK 7:18"",""MRK 7:19"",""MRK 7:20""]",92
P_GNT_EDITION_COMPLETE_SOURCE_FIVE_VERSE_MRK_009_040_MRK_009_045~d9389653ed1b9549b78eb247960a3c7052dcc45cf70effcb957654eafa8ac63a,greek,edition_complete,source,five_verse,MRK,MRK 9:40,MRK 9:45,"[""MRK 9:40"",""MRK 9:41"",""MRK 9:42"",""MRK 9:43"",""MRK 9:45""]",115
P_GNT_EDITION_COMPLETE_SOURCE_FIVE_VERSE_MRK_009_041_MRK_009_047~a14096e8330525dfa3c7354ed7552edd3fb35557f923a05f95936f8524272539,greek,edition_complete,source,five_verse,MRK,MRK 9:41,MRK 9:47,"[""MRK 9:41"",""MRK 9:42"",""MRK 9:43"",""MRK 9:45"",""MRK 9:47""]",133
P_GNT_EDITION_COMPLETE_SOURCE_FIVE_VERSE_MRK_009_042_MRK_009_048~1fc272eedeae0d8f7299439c7650cee7137e0e0359d861ab4482d3f1f8c6907f,greek,edition_complete,source,five_verse,MRK,MRK 9:42,MRK 9:48,"[""MRK 9:42"",""MRK 9:43"",""MRK 9:45"",""MRK 9:47"",""MRK 9:48""]",122
P_GNT_EDITION_COMPLETE_SOURCE_FIVE_VERSE_MRK_009_043_MRK_009_049~5988c7f88865b72fa9b9db1e9e266b191176ba3b604fe933bb43464961fab2cb,greek,edition_complete,source,five_verse,MRK,MRK 9:43,MRK 9:49,"[""MRK 9:43"",""MRK 9:45"",""MRK 9:47"",""MRK 9:48"",""MRK 9:49""]",99
P_GNT_EDITION_COMPLETE_SOURCE_FIVE_VERSE_MRK_009_045_MRK_009_050~4ed0f7fca760bfa6d07a10729533efc355466b9fa9d22f0065f17f912da1467f,greek,edition_complete,source,five_verse,MRK,MRK 9:45,MRK 9:50,"[""MRK 9:45"",""MRK 9:47"",""MRK 9:48"",""MRK 9:49"",""MRK 9:50""]",89
P_GNT_EDITION_COMPLETE_SOURCE_FIVE_VERSE_MRK_011_022_MRK_011_027~d37fb7e7e0a3f9018cce9f29df295767403216dd9842d7504320d01a6a8f568d,greek,edition_complete,source,five_verse,MRK,MRK 11:22,MRK 11:27,"[""MRK 11:22"",""MRK 11:23"",""MRK 11:24"",""MRK 11:25"",""MRK 11:27""]",101
P_GNT_EDITION_COMPLETE_SOURCE_FIVE_VERSE_MRK_011_023_MRK_011_028~0e8869d0ec9cc6273858c130a4b511d8772c537b3b1e4d67ceab9d7a9dc563a3,greek,edition_complete,source,five_verse,MRK,MRK 11:23,MRK 11:28,"[""MRK 11:23"",""MRK 11:24"",""MRK 11:25"",""MRK 11:27"",""MRK 11:28""]",110
P_GNT_EDITION_COMPLETE_SOURCE_FIVE_VERSE_MRK_011_024_MRK_011_029~ac04d85d6021502091f95738d67200f4b231b325d51e55e895666d95d6632f10,greek,edition_complete,source,five_verse,MRK,MRK 11:24,MRK 11:29,"[""MRK 11:24"",""MRK 11:25"",""MRK 11:27"",""MRK 11:28"",""MRK 11:29""]",99
P_GNT_EDITION_COMPLETE_SOURCE_FIVE_VERSE_MRK_011_025_MRK_011_030~4f76f66b9e5283284b4214fcf3d34a5f09ee3ca623169711808a57f1078617ac,greek,edition_complete,source,five_verse,MRK,MRK 11:25,MRK 11:30,"[""MRK 11:25"",""MRK 11:27"",""MRK 11:28"",""MRK 11:29"",""MRK 11:30""]",96
P_GNT_EDITION_COMPLETE_SOURCE_FIVE_VERSE_MRK_015_024_MRK_015_029~7cc466762cd7e1da100f9bfb3409031d9591d5d74ec6202974a1707a98858708,greek,edition_complete,source,five_verse,MRK,MRK 15:24,MRK 15:29,"[""MRK 15:24"",""MRK 15:25"",""MRK 15:26"",""MRK 15:27"",""MRK 15:29""]",69
P_GNT_EDITION_COMPLETE_SOURCE_FIVE_VERSE_MRK_015_025_MRK_015_030~f6803b27bb8d5150e6f1924149b8d511f888c12f98c112128b2dccbada007613,greek,edition_complete,source,five_verse,MRK,MRK 15:25,MRK 15:30,"[""MRK 15:25"",""MRK 15:26"",""MRK 15:27"",""MRK 15:29"",""MRK 15:30""]",60
P_GNT_EDITION_COMPLETE_SOURCE_FIVE_VERSE_MRK_015_026_MRK_015_031~44bc948d8df96c1df9abdc1b76990a992867727cff7eba5e8f24d260981840c3,greek,edition_complete,source,five_verse,MRK,MRK 15:26,MRK 15:31,"[""MRK 15:26"",""MRK 15:27"",""MRK 15:29"",""MRK 15:30"",""MRK 15:31""]",70
P_GNT_EDITION_COMPLETE_SOURCE_FIVE_VERSE_MRK_015_027_MRK_015_032~524fdc39e06ad3681b72256dec59175343d740c4d76c2b4c1925098b013cdcac,greek,edition_complete,source,five_verse,MRK,MRK 15:27,MRK 15:32,"[""MRK 15:27"",""MRK 15:29"",""MRK 15:30"",""MRK 15:31"",""MRK 15:32""]",79
P_GNT_EDITION_COMPLETE_SOURCE_FIVE_VERSE_LUK_017_032_LUK_017_037~90629466d225541810500c217d28a5055bfbdad6e56682795737cc4faf2ecf4e,greek,edition_complete,source,five_verse,LUK,LUK 17:32,LUK 17:37,"[""LUK 17:32"",""LUK 17:33"",""LUK 17:34"",""LUK 17:35"",""LUK 17:37""]",67
P_GNT_EDITION_COMPLETE_SOURCE_FIVE_VERSE_LUK_017_033_LUK_018_001~709195b6e7d3afe0d73c9c49ee4594c9ed42b43b992986f32e2b1fb944761ac0,greek,edition_complete,source,five_verse,LUK,LUK 17:33,LUK 18:1,"[""LUK 17:33"",""LUK 17:34"",""LUK 17:35"",""LUK 17:37"",""LUK 18:1""]",76
P_GNT_EDITION_COMPLETE_SOURCE_FIVE_VERSE_LUK_017_034_LUK_018_002~0f7e63cc9c4d7fb004ca5d4cb7494e8ee9dc2281d9e9ec5bd6c7715530fc2cf0,greek,edition_complete,source,five_verse,LUK,LUK 17:34,LUK 18:2,"[""LUK 17:34"",""LUK 17:35"",""LUK 17:37"",""LUK 18:1"",""LUK 18:2""]",76
P_GNT_EDITION_COMPLETE_SOURCE_FIVE_VERSE_LUK_017_035_LUK_018_003~e8d7e341a15a7d2188a5d53af7405aac0ccd42cab3d3d479b1ceb6b35c6638ce,greek,edition_complete,source,five_verse,LUK,LUK 17:35,LUK 18:3,"[""LUK 17:35"",""LUK 17:37"",""LUK 18:1"",""LUK 18:2"",""LUK 18:3""]",77
P_GNT_EDITION_COMPLETE_SOURCE_FIVE_VERSE_LUK_023_013_LUK_023_018~0c38fcfdaa7163b8ad99257ac551bdad7c5108fff395335967c6317e026446c2,greek,edition_complete,source,five_verse,LUK,LUK 23:13,LUK 23:18,"[""LUK 23:13"",""LUK 23:14"",""LUK 23:15"",""LUK 23:16"",""LUK 23:18""]",71
P_GNT_EDITION_COMPLETE_SOURCE_FIVE_VERSE_LUK_023_014_LUK_023_019~edc54bfd4eb1c42734fa701785075a5e5291e14f6b85edf6a17c5c9d759df01f,greek,edition_complete,source,five_verse,LUK,LUK 23:14,LUK 23:19,"[""LUK 23:14"",""LUK 23:15"",""LUK 23:16"",""LUK 23:18"",""LUK 23:19""]",75
P_GNT_EDITION_COMPLETE_SOURCE_FIVE_VERSE_LUK_023_015_LUK_023_020~bf370a30b0a8bbc34c3c0175e64936167efe86e111a01c11234ae636a3e2947a,greek,edition_complete,source,five_verse,LUK,LUK 23:15,LUK 23:20,"[""LUK 23:15"",""LUK 23:16"",""LUK 23:18"",""LUK 23:19"",""LUK 23:20""]",56
P_GNT_EDITION_COMPLETE_SOURCE_FIVE_VERSE_LUK_023_016_LUK_023_021~93a7cab31a9bff6639e7b91215778fc5cf29e35709c6b0a2a0674e9569fe00b4,greek,edition_complete,source,five_verse,LUK,LUK 23:16,LUK 23:21,"[""LUK 23:16"",""LUK 23:18"",""LUK 23:19"",""LUK 23:20"",""LUK 23:21""]",47
P_GNT_EDITION_COMPLETE_SOURCE_FIVE_VERSE_ACT_008_033_ACT_008_038~89413a422c70c79a68e249fffa8e3b097472833f67b004f433121b796b44798a,greek,edition_complete,source,five_verse,ACT,ACT 8:33,ACT 8:38,"[""ACT 8:33"",""ACT 8:34"",""ACT 8:35"",""ACT 8:36"",""ACT 8:38""]",98
P_GNT_EDITION_COMPLETE_SOURCE_FIVE_VERSE_ACT_008_034_ACT_008_039~5663fa5540c44b7dfa873c5c933493e10a11a17c19f0772a6134066dd0b193a9,greek,edition_complete,source,five_verse,ACT,ACT 8:34,ACT 8:39,"[""ACT 8:34"",""ACT 8:35"",""ACT 8:36"",""ACT 8:38"",""ACT 8:39""]",102
P_GNT_EDITION_COMPLETE_SOURCE_FIVE_VERSE_ACT_008_035_ACT_008_040~a5ca654f3ba8af5733100dafbacfc287dfa2549d1d71c276000e9862c2c285a2,greek,edition_complete,source,five_verse,ACT,ACT 8:35,ACT 8:40,"[""ACT 8:35"",""ACT 8:36"",""ACT 8:38"",""ACT 8:39"",""ACT 8:40""]",98
P_GNT_EDITION_COMPLETE_SOURCE_FIVE_VERSE_ACT_008_036_ACT_009_001~df0f696b8f61b0a569c1df15c4797e60eece94177376e382c0c65366ae86ac44,greek,edition_complete,source,five_verse,ACT,ACT 8:36,ACT 9:1,"[""ACT 8:36"",""ACT 8:38"",""ACT 8:39"",""ACT 8:40"",""ACT 9:1""]",97
P_GNT_EDITION_COMPLETE_SOURCE_FIVE_VERSE_ACT_015_030_ACT_015_035~592086dfe9072c2a39a5d731b7071b647f9d80908c5f00724bf0e947bf50d427,greek,edition_complete,source,five_verse,ACT,ACT 15:30,ACT 15:35,"[""ACT 15:30"",""ACT 15:31"",""ACT 15:32"",""ACT 15:33"",""ACT 15:35""]",67
P_GNT_EDITION_COMPLETE_SOURCE_FIVE_VERSE_ACT_015_031_ACT_015_036~aae338fd37b613863a88786ec11658da753d675d3ec59c19999cbe7a2fe0912b,greek,edition_complete,source,five_verse,ACT,ACT 15:31,ACT 15:36,"[""ACT 15:31"",""ACT 15:32"",""ACT 15:33"",""ACT 15:35"",""ACT 15:36""]",78
P_GNT_EDITION_COMPLETE_SOURCE_FIVE_VERSE_ACT_015_032_ACT_015_037~faa8f3e72055ae27d8976cf691d0d7bb2c62a46aa9be2d178df33a8c6e600588,greek,edition_complete,source,five_verse,ACT,ACT 15:32,ACT 15:37,"[""ACT 15:32"",""ACT 15:33"",""ACT 15:35"",""ACT 15:36"",""ACT 15:37""]",82
P_GNT_EDITION_COMPLETE_SOURCE_FIVE_VERSE_ACT_015_033_ACT_015_038~e01b85f0ecbed1ca801a89b2d035b631236308e0b52c8bcfec1912094ec8d43d,greek,edition_complete,source,five_verse,ACT,ACT 15:33,ACT 15:38,"[""ACT 15:33"",""ACT 15:35"",""ACT 15:36"",""ACT 15:37"",""ACT 15:38""]",85
P_GNT_EDITION_COMPLETE_SOURCE_FIVE_VERSE_ACT_024_003_ACT_024_008~ddbb1e5933f152999e81d595a256e864ca8efdeeb358f447c007d584f50127fa,greek,edition_complete,source,five_verse,ACT,ACT 24:3,ACT 24:8,"[""ACT 24:3"",""ACT 24:4"",""ACT 24:5"",""ACT 24:6"",""ACT 24:8""]",69
P_GNT_EDITION_COMPLETE_SOURCE_FIVE_VERSE_ACT_024_004_ACT_024_009~100d887df152d2b54a57f36ea1e162e40ee0e34888fc1e9cd219a6bf22b5a64f,greek,edition_complete,source,five_verse,ACT,ACT 24:4,ACT 24:9,"[""ACT 24:4"",""ACT 24:5"",""ACT 24:6"",""ACT 24:8"",""ACT 24:9""]",68
P_GNT_EDITION_COMPLETE_SOURCE_FIVE_VERSE_ACT_024_005_ACT_024_010~2a55e01179db3460a4282b63f8d591f7ec6425856653532d3b50ae2c711a27cb,greek,edition_complete,source,five_verse,ACT,ACT 24:5,ACT 24:10,"[""ACT 24:5"",""ACT 24:6"",""ACT 24:8"",""ACT 24:9"",""ACT 24:10""]",77
P_GNT_EDITION_COMPLETE_SOURCE_FIVE_VERSE_ACT_024_006_ACT_024_011~84a088e8ba1d43da01b1cb8b9f3cdc2a417272695b9cc41ca8a494c533717e4c,greek,edition_complete,source,five_verse,ACT,ACT 24:6,ACT 24:11,"[""ACT 24:6"",""ACT 24:8"",""ACT 24:9"",""ACT 24:10"",""ACT 24:11""]",71
P_GNT_EDITION_COMPLETE_SOURCE_FIVE_VERSE_ACT_028_025_ACT_028_030~7c30058860c26e80a476f6dd87a841d51d365cb2e9cf4ba061529acfea896925,greek,edition_complete,source,five_verse,ACT,ACT 28:25,ACT 28:30,"[""ACT 28:25"",""ACT 28:26"",""ACT 28:27"",""ACT 28:28"",""ACT 28:30""]",112
P_GNT_EDITION_COMPLETE_SOURCE_FIVE_VERSE_ACT_028_026_ACT_028_031~71c74dccdc457041989e21a078a0f3ac81d6cf23125a78bde956788875bd4942,greek,edition_complete,source,five_verse,ACT,ACT 28:26,ACT 28:31,"[""ACT 28:26"",""ACT 28:27"",""ACT 28:28"",""ACT 28:30"",""ACT 28:31""]",103
P_GNT_EDITION_COMPLETE_SOURCE_FIVE_VERSE_ROM_016_020_ROM_016_025~3e5b898f0fb203d7218da985d199530d81f8d49010148b4b75d7c12485fd9c78,greek,edition_complete,source,five_verse,ROM,ROM 16:20,ROM 16:25,"[""ROM 16:20"",""ROM 16:21"",""ROM 16:22"",""ROM 16:23"",""ROM 16:25""]",88
P_GNT_EDITION_COMPLETE_SOURCE_FIVE_VERSE_ROM_016_021_ROM_016_026~5d4b0990477322357291ede4f2549a1ea0234c2b1b60d15da39d61fbc898e47f,greek,edition_complete,source,five_verse,ROM,ROM 16:21,ROM 16:26,"[""ROM 16:21"",""ROM 16:22"",""ROM 16:23"",""ROM 16:25"",""ROM 16:26""]",86
P_GNT_EDITION_COMPLETE_SOURCE_FIVE_VERSE_ROM_016_022_ROM_016_027~aca03c144179d26e0ef873c8e887facdb78c9b48bbcfc80c9777b3caeca45c15,greek,edition_complete,source,five_verse,ROM,ROM 16:22,ROM 16:27,"[""ROM 16:22"",""ROM 16:23"",""ROM 16:25"",""ROM 16:26"",""ROM 16:27""]",86
P_GNT_EDITION_COMPLETE_SOURCE_SENTENCE_ACT_024_005_ACT_024_008~2a4f96e1676ff7f5be731e5d4a7093c408efde9f2988bdfc53a267ccd3a908ef,greek,edition_complete,source,sentence,ACT,ACT 24:5,ACT 24:8,"[""ACT 24:5"",""ACT 24:6"",""ACT 24:8""]",44
P_GNT_EDITION_COMPLETE_SOURCE_TWO_VERSE_MAT_017_020_MAT_017_022~787da2b971dd4fbe1eb16ca6e4c706faab3b2dfc0b24db9e83124b5c5db05c45,greek,edition_complete,source,two_verse,MAT,MAT 17:20,MAT 17:22,"[""MAT 17:20"",""MAT 17:22""]",50
P_GNT_EDITION_COMPLETE_SOURCE_TWO_VERSE_MAT_018_010_MAT_018_012~9764eb53f800f8dff207c6870f871eca73350a92131e5b1edd6bf21ca453a25c,greek,edition_complete,source,two_verse,MAT,MAT 18:10,MAT 18:12,"[""MAT 18:10"",""MAT 18:12""]",54
